General : Start date,"11/19/2025 10:49 AM"
General : End date,"11/19/2025 10:49 AM"
Specimen notes : Specimen note 1,"G8-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-5.37138"
"0.10000","0.00443","13.95090"
"0.20000","0.01426","108.73319"
"0.30000","0.02366","161.96701"
"0.40000","0.03261","213.03485"
"0.50000","0.04133","285.60034"
"0.60000","0.04982","370.78729"
"0.70000","0.05833","454.02054"
"0.80000","0.06675","535.04004"
"0.90000","0.07504","610.09503"
"1.00000","0.08346","688.30780"
"1.10000","0.09180","763.61426"
"1.20000","0.10021","840.94257"
"1.30000","0.10853","915.05054"
"1.40000","0.11685","996.33087"
"1.50000","0.12519","1073.47034"
"1.60000","0.13343","1154.74756"
"1.70000","0.14177","1234.32336"
"1.80000","0.15011","1316.40820"
"1.90000","0.15847","1396.54089"
"2.00000","0.16689","1475.81738"
"2.10000","0.17515","1553.72314"
"2.20000","0.18352","1633.17505"
"2.30000","0.19181","1707.90723"
"2.40000","0.20020","1784.48523"
"2.50000","0.20859","1858.13403"
"2.60000","0.21686","1931.75073"
"2.70000","0.22522","2005.12708"
"2.80000","0.23344","2072.64624"
"2.90000","0.24180","2141.36621"
"3.00000","0.25012","2208.91821"
"3.10000","0.25843","2276.65356"
"3.20000","0.26688","2341.05420"
"3.30000","0.27517","2404.73877"
"3.40000","0.28358","2467.63062"
"3.50000","0.29187","2528.07983"
"3.60000","0.30019","2589.64307"
"3.70000","0.30853","2651.09741"
"3.80000","0.31679","2708.24170"
"3.90000","0.32521","2768.68799"
"4.00000","0.33353","2823.96631"
"4.10000","0.34189","2882.64600"
"4.20000","0.35018","2937.85474"
"4.30000","0.35847","2993.68677"
"4.40000","0.36684","3048.59399"
"4.50000","0.37513","3103.21045"
"4.60000","0.38354","3158.27026"
"4.70000","0.39184","3211.63574"
"4.80000","0.40008","3264.38354"
"4.90000","0.40844","3316.20044"
"5.00000","0.41673","3365.31763"
"5.10000","0.42515","3418.40430"
"5.20000","0.43349","3468.37378"
"5.30000","0.44183","3519.63037"
"5.40000","0.45017","3568.90894"
"5.50000","0.45843","3616.54272"
"5.60000","0.46683","3666.73462"
"5.70000","0.47512","3714.65918"
"5.80000","0.48346","3764.88232"
"5.90000","0.49185","3812.70166"
"6.00000","0.50016","3861.08154"
"6.10000","0.50858","3908.88867"
"6.20000","0.51684","3956.55322"
"6.30000","0.52521","4006.00513"
"6.40000","0.53350","4053.70581"
"6.50000","0.54182","4101.44629"
"6.60000","0.55026","4149.59961"
"6.70000","0.55855","4196.47266"
"6.80000","0.56694","4247.00732"
"6.90000","0.57520","4293.17822"
"7.00000","0.58349","4341.37793"
"7.10000","0.59184","4387.72314"
"7.20000","0.60013","4435.67822"
"7.30000","0.60857","4484.63281"
"7.40000","0.61686","4530.46826"
"7.50000","0.62520","4577.44775"
"7.60000","0.63351","4623.61035"
"7.70000","0.64175","4670.26807"
"7.80000","0.65017","4718.85596"
"7.90000","0.65843","4765.42725"
"8.00000","0.66680","4812.94678"
"8.10000","0.67514","4859.46924"
"8.20000","0.68351","4908.49365"
"8.30000","0.69187","4958.10010"
"8.40000","0.70014","5004.54736"
"8.50000","0.70850","5054.36572"
"8.60000","0.71679","5101.35791"
"8.70000","0.72516","5150.26807"
"8.80000","0.73355","5198.04053"
"8.90000","0.74182","5245.76514"
"9.00000","0.75023","5293.46484"
"9.10000","0.75852","5340.78125"
"9.20000","0.76689","5389.68945"
"9.30000","0.77523","5438.40820"
"9.40000","0.78354","5486.73486"
"9.50000","0.79194","5535.09619"
"9.60000","0.80018","5582.01465"
"9.70000","0.80854","5631.63232"
"9.80000","0.81683","5679.25928"
"9.90000","0.82515","5731.30225"
"10.00000","0.83354","5782.28613"
"10.10000","0.84180","5830.44238"
"10.20000","0.85019","5881.12256"
"10.30000","0.85846","5930.20557"
"10.40000","0.86683","5980.69482"
"10.50000","0.87517","6032.79590"
"10.60000","0.88346","6082.64893"
"10.70000","0.89190","6134.02148"
"10.80000","0.90019","6182.25098"
"10.90000","0.90855","6235.05273"
"11.00000","0.91682","6285.69629"
"11.10000","0.92508","6336.39551"
"11.20000","0.93345","6387.78809"
"11.30000","0.94174","6436.36279"
"11.40000","0.95016","6489.01514"
"11.50000","0.95852","6539.61230"
"11.60000","0.96684","6592.57178"
"11.70000","0.97520","6641.85303"
"11.80000","0.98344","6691.94092"
"11.90000","0.99191","6744.13281"
"12.00000","1.00020","6795.24854"
"12.10000","1.00854","6848.98779"
"12.20000","1.01688","6898.32031"
"12.30000","1.02512","6948.17090"
"12.40000","1.03349","6999.90332"
"12.50000","1.04173","7050.42578"
"12.60000","1.05012","7105.20361"
"12.70000","1.05851","7155.06006"
"12.80000","1.06683","7206.95850"
"12.90000","1.07527","7257.82666"
"13.00000","1.08351","7307.93311"
"13.10000","1.09187","7361.31299"
"13.20000","1.10016","7410.73633"
"13.30000","1.10850","7461.65674"
"13.40000","1.11687","7513.90625"
"13.50000","1.12518","7565.79932"
"13.60000","1.13358","7619.73779"
"13.70000","1.14184","7669.60986"
"13.80000","1.15016","7722.02246"
"13.90000","1.15852","7772.12744"
"14.00000","1.16681","7823.24609"
"14.10000","1.17523","7877.48242"
"14.20000","1.18349","7928.44971"
"14.30000","1.19181","7981.10938"
"14.40000","1.20010","8031.08496"
"14.50000","1.20841","8082.33984"
"14.60000","1.21681","8134.09180"
"14.70000","1.22512","8185.70117"
"14.80000","1.23351","8239.07422"
"14.90000","1.24183","8288.74902"
"15.00000","1.25014","8339.74316"
"15.10000","1.25851","8390.79004"
"15.20000","1.26672","8445.60742"
"15.30000","1.27514","8498.53711"
"15.40000","1.28348","8549.05469"
"15.50000","1.29185","8600.09668"
"15.60000","1.30024","8651.71387"
"15.70000","1.30850","8701.55273"
"15.80000","1.31687","8753.15234"
"15.90000","1.32513","8803.75391"
"16.00000","1.33353","8855.69336"
"16.10000","1.34187","8904.95898"
"16.20000","1.35018","8956.48535"
"16.30000","1.35855","9008.68652"
"16.40000","1.36684","9058.18652"
"16.50000","1.37520","9109.46094"
"16.60000","1.38349","9159.29492"
"16.70000","1.39181","9210.67969"
"16.80000","1.40023","9262.44434"
"16.90000","1.40852","9313.13184"
"17.00000","1.41693","9364.92578"
"17.10000","1.42517","9412.85352"
"17.20000","1.43346","9464.92676"
"17.30000","1.44178","9516.45410"
"17.40000","1.45007","9567.69629"
"17.50000","1.45848","9619.82422"
"17.60000","1.46680","9668.89648"
"17.70000","1.47522","9720.15625"
"17.80000","1.48353","9770.52148"
"17.90000","1.49185","9820.99219"
"18.00000","1.50016","9870.81055"
