General : Start date,"11/24/2025 10:30 AM"
General : End date,"11/24/2025 10:30 AM"
Specimen notes : Specimen note 1,"G4-2"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.05796","3.62356"
"0.10000","-0.04883","4.48921"
"0.20000","-0.03026","117.81953"
"0.30000","-0.01134","324.17398"
"0.40000","0.00680","503.50079"
"0.50000","0.02434","656.45728"
"0.60000","0.04153","805.33691"
"0.70000","0.05851","946.90753"
"0.80000","0.07529","1088.40222"
"0.90000","0.09213","1225.33838"
"1.00000","0.10898","1355.21069"
"1.10000","0.12571","1469.98950"
"1.20000","0.14235","1578.85364"
"1.30000","0.15898","1684.13086"
"1.40000","0.17566","1785.00696"
"1.50000","0.19239","1881.54517"
"1.60000","0.20902","1972.80518"
"1.70000","0.22570","2062.09253"
"1.80000","0.24236","2149.51465"
"1.90000","0.25891","2232.70044"
"2.00000","0.27554","2314.34741"
"2.10000","0.29235","2395.50073"
"2.20000","0.30903","2472.38623"
"2.30000","0.32566","2553.96362"
"2.40000","0.34232","2632.32593"
"2.50000","0.35903","2709.67529"
"2.60000","0.37573","2787.02930"
"2.70000","0.39241","2862.65137"
"2.80000","0.40912","2940.08130"
"2.90000","0.42568","3014.87134"
"3.00000","0.44236","3087.80933"
"3.10000","0.45904","3162.65039"
"3.20000","0.47570","3238.83398"
"3.30000","0.49235","3314.76294"
"3.40000","0.50901","3392.79932"
"3.50000","0.52561","3465.16772"
"3.60000","0.54219","3540.24927"
"3.70000","0.55893","3617.17871"
"3.80000","0.57568","3692.64771"
"3.90000","0.59236","3769.77734"
"4.00000","0.60905","3844.93140"
"4.10000","0.62573","3920.92090"
"4.20000","0.64236","3999.69434"
"4.30000","0.65899","4077.66650"
"4.40000","0.67564","4156.43164"
"4.50000","0.69233","4234.08691"
"4.60000","0.70898","4312.53223"
"4.70000","0.72566","4393.67822"
"4.80000","0.74240","4475.08057"
"4.90000","0.75903","4554.84375"
"5.00000","0.77563","4636.05176"
"5.10000","0.79229","4715.91260"
"5.20000","0.80894","4799.27051"
"5.30000","0.82563","4882.56885"
"5.40000","0.84228","4965.58838"
"5.50000","0.85894","5051.16455"
"5.60000","0.87562","5132.76221"
"5.70000","0.89233","5218.31250"
"5.80000","0.90906","5303.10938"
"5.90000","0.92574","5385.84277"
"6.00000","0.94234","5472.48584"
"6.10000","0.95898","5557.00977"
"6.20000","0.97573","5643.41113"
"6.30000","0.99234","5729.33350"
"6.40000","1.00899","5815.57812"
"6.50000","1.02570","5904.27197"
"6.60000","1.04233","5990.97705"
"6.70000","1.05889","6075.27734"
"6.80000","1.07562","6166.04395"
"6.90000","1.09235","6253.57178"
"7.00000","1.10898","6342.39551"
"7.10000","1.12561","6429.33105"
"7.20000","1.14237","6516.66016"
"7.30000","1.15905","6604.77637"
"7.40000","1.17576","6692.43506"
"7.50000","1.19241","6780.04102"
"7.60000","1.20904","6866.54883"
"7.70000","1.22568","6951.58838"
"7.80000","1.24241","7040.90723"
"7.90000","1.25906","7129.41748"
"8.00000","1.27569","7215.27197"
"8.10000","1.29230","7302.11230"
"8.20000","1.30896","7389.80176"
"8.30000","1.32559","7473.63770"
"8.40000","1.34224","7561.28809"
"8.50000","1.35900","7644.42773"
"8.60000","1.37571","7730.74414"
"8.70000","1.39236","7815.30664"
"8.80000","1.40904","7899.00488"
"8.90000","1.42573","7985.69482"
