General : Start date,"11/24/2025 10:37 AM"
General : End date,"11/24/2025 10:38 AM"
Specimen notes : Specimen note 1,"G6-2"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.05733","6.48645"
"0.10000","-0.04757","7.78923"
"0.20000","-0.02893","151.25882"
"0.30000","-0.01026","354.64111"
"0.40000","0.00774","540.70117"
"0.50000","0.02517","707.85492"
"0.60000","0.04228","861.03064"
"0.70000","0.05922","1010.12579"
"0.80000","0.07602","1158.88953"
"0.90000","0.09281","1300.42334"
"1.00000","0.10966","1434.89417"
"1.10000","0.12637","1557.00635"
"1.20000","0.14300","1672.01147"
"1.30000","0.15963","1781.29321"
"1.40000","0.17634","1881.75720"
"1.50000","0.19307","1980.27991"
"1.60000","0.20970","2074.97412"
"1.70000","0.22636","2170.26709"
"1.80000","0.24301","2262.30029"
"1.90000","0.25959","2353.18408"
"2.00000","0.27622","2441.35376"
"2.10000","0.29301","2530.55347"
"2.20000","0.30966","2613.83838"
"2.30000","0.32632","2700.44019"
"2.40000","0.34300","2786.09888"
"2.50000","0.35971","2869.75000"
"2.60000","0.37641","2952.69971"
"2.70000","0.39310","3030.47998"
"2.80000","0.40975","3108.39185"
"2.90000","0.42633","3184.29810"
"3.00000","0.44304","3260.10547"
"3.10000","0.45972","3337.10864"
"3.20000","0.47638","3411.37305"
"3.30000","0.49301","3485.80518"
"3.40000","0.50966","3561.88525"
"3.50000","0.52627","3636.51465"
"3.60000","0.54290","3712.00952"
"3.70000","0.55961","3788.76074"
"3.80000","0.57636","3865.54834"
"3.90000","0.59304","3942.48779"
"4.00000","0.60970","4020.30151"
"4.10000","0.62638","4098.85693"
"4.20000","0.64301","4176.52734"
"4.30000","0.65964","4252.62012"
"4.40000","0.67633","4332.76855"
"4.50000","0.69298","4412.03027"
"4.60000","0.70966","4492.42041"
"4.70000","0.72634","4573.32178"
"4.80000","0.74305","4653.79834"
"4.90000","0.75968","4732.50537"
"5.00000","0.77629","4813.79688"
"5.10000","0.79294","4896.14795"
"5.20000","0.80962","4979.74365"
"5.30000","0.82631","5063.22705"
"5.40000","0.84296","5146.31738"
"5.50000","0.85962","5231.31689"
"5.60000","0.87630","5316.86475"
"5.70000","0.89301","5402.83838"
"5.80000","0.90971","5489.20508"
"5.90000","0.92637","5572.15674"
"6.00000","0.94303","5659.74707"
"6.10000","0.95966","5746.58691"
"6.20000","0.97639","5836.13135"
"6.30000","0.99299","5925.64746"
"6.40000","1.00968","6014.44141"
"6.50000","1.02636","6105.62646"
"6.60000","1.04299","6196.63086"
"6.70000","1.05954","6287.34229"
"6.80000","1.07630","6382.13818"
"6.90000","1.09301","6475.82031"
"7.00000","1.10964","6570.70557"
"7.10000","1.12629","6665.93457"
"7.20000","1.14305","6761.03174"
"7.30000","1.15973","6855.62109"
"7.40000","1.17644","6950.82471"
"7.50000","1.19307","7044.76660"
"7.60000","1.20970","7140.46875"
"7.70000","1.22636","7234.06445"
"7.80000","1.24309","7330.90332"
"7.90000","1.25972","7426.47559"
"8.00000","1.27635","7520.40527"
"8.10000","1.29296","7618.46533"
"8.20000","1.30961","7713.49463"
"8.30000","1.32624","7807.85400"
"8.40000","1.34292","7904.53320"
"8.50000","1.35968","7997.39453"
"8.60000","1.37636","8091.31250"
"8.70000","1.39302","8185.22705"
"8.80000","1.40970","8279.36230"
"8.90000","1.42641","8375.29785"
