General : Start date,"11/19/2025 10:54 AM"
General : End date,"11/19/2025 10:54 AM"
Specimen notes : Specimen note 1,"G8-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00030","-2.64829"
"0.10000","0.00764","43.94266"
"0.20000","0.01751","104.44289"
"0.30000","0.02691","132.00453"
"0.40000","0.03581","182.97757"
"0.50000","0.04453","251.45630"
"0.60000","0.05299","324.97513"
"0.70000","0.06153","401.53186"
"0.80000","0.06993","476.11450"
"0.90000","0.07829","553.96454"
"1.00000","0.08668","628.52057"
"1.10000","0.09495","703.40790"
"1.20000","0.10326","775.57623"
"1.30000","0.11160","847.42419"
"1.40000","0.11994","923.99341"
"1.50000","0.12834","1003.75793"
"1.60000","0.13660","1084.09509"
"1.70000","0.14499","1163.38184"
"1.80000","0.15331","1243.10718"
"1.90000","0.16160","1322.42847"
"2.00000","0.16996","1405.06165"
"2.10000","0.17828","1485.47241"
"2.20000","0.18672","1567.16724"
"2.30000","0.19499","1645.24915"
"2.40000","0.20338","1723.95374"
"2.50000","0.21164","1797.92529"
"2.60000","0.21993","1873.17786"
"2.70000","0.22827","1942.89258"
"2.80000","0.23654","2012.19397"
"2.90000","0.24498","2079.44189"
"3.00000","0.25332","2145.67944"
"3.10000","0.26164","2212.73413"
"3.20000","0.26998","2279.48242"
"3.30000","0.27824","2341.59399"
"3.40000","0.28671","2404.21875"
"3.50000","0.29502","2463.57593"
"3.60000","0.30339","2526.35669"
"3.70000","0.31165","2586.16040"
"3.80000","0.31989","2644.94971"
"3.90000","0.32826","2703.37964"
"4.00000","0.33655","2759.71558"
"4.10000","0.34494","2820.23926"
"4.20000","0.35331","2876.00952"
"4.30000","0.36165","2932.44727"
"4.40000","0.37004","2985.88330"
"4.50000","0.37830","3038.81860"
"4.60000","0.38672","3091.67725"
"4.70000","0.39499","3143.66919"
"4.80000","0.40330","3195.47363"
"4.90000","0.41169","3247.46753"
"5.00000","0.41996","3297.87817"
"5.10000","0.42837","3350.59692"
"5.20000","0.43664","3400.04712"
"5.30000","0.44495","3451.69727"
"5.40000","0.45329","3501.19019"
"5.50000","0.46158","3551.65332"
"5.60000","0.47003","3602.66016"
"5.70000","0.47827","3652.63037"
"5.80000","0.48663","3703.38403"
"5.90000","0.49490","3752.99561"
"6.00000","0.50321","3803.36719"
"6.10000","0.51163","3853.50513"
"6.20000","0.51994","3902.98999"
"6.30000","0.52834","3953.44116"
"6.40000","0.53663","4000.63916"
"6.50000","0.54494","4049.37671"
"6.60000","0.55333","4098.63721"
"6.70000","0.56157","4147.84229"
"6.80000","0.56999","4197.97070"
"6.90000","0.57828","4245.26465"
"7.00000","0.58664","4295.39307"
"7.10000","0.59504","4341.59277"
"7.20000","0.60333","4391.20166"
"7.30000","0.61169","4442.22412"
"7.40000","0.61993","4489.64990"
"7.50000","0.62832","4539.18262"
"7.60000","0.63666","4588.55371"
"7.70000","0.64498","4637.17432"
"7.80000","0.65337","4686.64453"
"7.90000","0.66163","4732.94189"
"8.00000","0.67000","4782.53564"
"8.10000","0.67829","4828.66992"
"8.20000","0.68661","4876.11426"
"8.30000","0.69505","4927.07422"
"8.40000","0.70331","4974.39990"
"8.50000","0.71170","5024.32080"
"8.60000","0.71994","5070.46533"
"8.70000","0.72828","5119.53955"
"8.80000","0.73660","5168.64307"
"8.90000","0.74487","5219.36963"
"9.00000","0.75328","5268.75098"
"9.10000","0.76157","5318.08057"
"9.20000","0.77001","5368.15576"
"9.30000","0.77843","5418.23779"
"9.40000","0.78667","5468.22656"
"9.50000","0.79498","5518.51221"
"9.60000","0.80322","5566.18555"
"9.70000","0.81164","5616.68555"
"9.80000","0.81998","5666.70605"
"9.90000","0.82832","5718.12109"
"10.00000","0.83669","5766.15918"
"10.10000","0.84495","5815.81641"
"10.20000","0.85337","5866.72070"
"10.30000","0.86168","5915.30127"
"10.40000","0.87008","5968.68848"
"10.50000","0.87839","6019.35449"
"10.60000","0.88666","6069.73975"
"10.70000","0.89502","6121.24268"
"10.80000","0.90329","6171.97266"
"10.90000","0.91165","6227.16650"
"11.00000","0.91999","6279.24707"
"11.10000","0.92828","6330.51318"
"11.20000","0.93665","6383.95557"
"11.30000","0.94492","6433.49121"
"11.40000","0.95333","6485.91064"
"11.50000","0.96160","6538.71680"
"11.60000","0.96996","6591.99268"
"11.70000","0.97835","6643.26270"
"11.80000","0.98667","6694.48584"
"11.90000","0.99506","6747.94385"
"12.00000","1.00330","6798.38574"
"12.10000","1.01164","6851.03662"
"12.20000","1.01993","6902.15381"
"12.30000","1.02820","6953.96533"
"12.40000","1.03666","7006.94531"
"12.50000","1.04495","7058.45898"
"12.60000","1.05332","7112.12842"
"12.70000","1.06161","7162.95557"
"12.80000","1.06992","7216.00146"
"12.90000","1.07834","7268.79980"
"13.00000","1.08666","7321.73096"
"13.10000","1.09507","7376.24756"
"13.20000","1.10334","7427.49072"
"13.30000","1.11163","7481.07959"
"13.40000","1.11994","7532.26953"
"13.50000","1.12821","7585.76904"
"13.60000","1.13662","7640.43018"
"13.70000","1.14494","7691.59131"
"13.80000","1.15333","7743.44482"
"13.90000","1.16167","7793.70361"
"14.00000","1.16996","7844.78174"
"14.10000","1.17838","7896.27344"
"14.20000","1.18664","7947.21484"
"14.30000","1.19501","7999.68896"
"14.40000","1.20332","8048.01123"
"14.50000","1.21167","8100.92529"
"14.60000","1.22006","8153.07520"
"14.70000","1.22830","8205.04980"
"14.80000","1.23666","8256.03613"
"14.90000","1.24498","8305.73340"
"15.00000","1.25332","8358.12598"
"15.10000","1.26168","8409.40723"
"15.20000","1.26995","8459.91602"
"15.30000","1.27832","8511.77832"
"15.40000","1.28656","8561.53711"
"15.50000","1.29492","8612.92969"
"15.60000","1.30326","8664.19629"
"15.70000","1.31158","8717.17188"
"15.80000","1.31999","8768.91113"
"15.90000","1.32826","8817.78711"
"16.00000","1.33665","8869.48730"
"16.10000","1.34497","8919.57910"
"16.20000","1.35326","8971.44043"
"16.30000","1.36162","9023.76074"
"16.40000","1.36991","9073.89062"
"16.50000","1.37835","9125.02441"
"16.60000","1.38667","9173.98145"
"16.70000","1.39501","9226.15039"
"16.80000","1.40335","9276.73242"
"16.90000","1.41161","9326.26465"
"17.00000","1.42003","9378.14844"
"17.10000","1.42830","9427.86328"
"17.20000","1.43666","9480.04590"
"17.30000","1.44503","9530.16797"
"17.40000","1.45332","9579.21484"
"17.50000","1.46168","9631.02246"
"17.60000","1.46995","9678.63477"
"17.70000","1.47834","9730.33301"
"17.80000","1.48668","9780.07715"
"17.90000","1.49497","9831.84668"
"18.00000","1.50339","9882.19336"
