General : Start date,"11/19/2025 9:47 AM"
General : End date,"11/19/2025 9:48 AM"
Specimen notes : Specimen note 1,"B22"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00005","-2.05018"
"0.10000","0.00441","-0.81248"
"0.20000","0.01376","10.50781"
"0.30000","0.02298","96.03317"
"0.40000","0.03210","205.36867"
"0.50000","0.04107","313.60199"
"0.60000","0.04972","416.37296"
"0.70000","0.05826","513.99646"
"0.80000","0.06667","600.36395"
"0.90000","0.07502","688.09760"
"1.00000","0.08346","781.72906"
"1.10000","0.09175","874.99011"
"1.20000","0.10014","970.57849"
"1.30000","0.10845","1064.09021"
"1.40000","0.11682","1161.18030"
"1.50000","0.12516","1257.26062"
"1.60000","0.13340","1351.90491"
"1.70000","0.14179","1445.42847"
"1.80000","0.15011","1538.54919"
"1.90000","0.15847","1632.70947"
"2.00000","0.16681","1724.18994"
"2.10000","0.17508","1816.98486"
"2.20000","0.18347","1905.87158"
"2.30000","0.19173","1991.01941"
"2.40000","0.20013","2076.45923"
"2.50000","0.20849","2160.37891"
"2.60000","0.21678","2243.77490"
"2.70000","0.22517","2325.64990"
"2.80000","0.23346","2403.55566"
"2.90000","0.24183","2479.40649"
"3.00000","0.25009","2556.17163"
"3.10000","0.25841","2632.49731"
"3.20000","0.26680","2708.12793"
"3.30000","0.27509","2778.77661"
"3.40000","0.28353","2853.44849"
"3.50000","0.29180","2922.39404"
"3.60000","0.30011","2996.42529"
"3.70000","0.30848","3067.29248"
"3.80000","0.31677","3137.35840"
"3.90000","0.32521","3207.94165"
"4.00000","0.33350","3276.41040"
"4.10000","0.34184","3346.15894"
"4.20000","0.35013","3415.76831"
"4.30000","0.35840","3483.69580"
"4.40000","0.36681","3553.21729"
"4.50000","0.37505","3620.78149"
"4.60000","0.38349","3692.20923"
"4.70000","0.39178","3759.75806"
"4.80000","0.40013","3827.42212"
"4.90000","0.40849","3894.18945"
"5.00000","0.41676","3959.77490"
"5.10000","0.42515","4027.33716"
"5.20000","0.43344","4093.69946"
"5.30000","0.44180","4163.70166"
"5.40000","0.45014","4229.70410"
"5.50000","0.45841","4295.84814"
"5.60000","0.46683","4363.16748"
"5.70000","0.47509","4430.37061"
"5.80000","0.48348","4500.92920"
"5.90000","0.49185","4569.02734"
"6.00000","0.50014","4636.24658"
"6.10000","0.50855","4702.92773"
"6.20000","0.51674","4769.03711"
"6.30000","0.52511","4837.71436"
"6.40000","0.53340","4904.64062"
"6.50000","0.54174","4972.87646"
"6.60000","0.55016","5040.45801"
"6.70000","0.55842","5108.52100"
"6.80000","0.56681","5177.17139"
"6.90000","0.57513","5243.52734"
"7.00000","0.58347","5312.58154"
"7.10000","0.59181","5380.19775"
"7.20000","0.60010","5447.53711"
"7.30000","0.60854","5518.79297"
"7.40000","0.61681","5585.56445"
"7.50000","0.62517","5654.98730"
"7.60000","0.63346","5722.46436"
"7.70000","0.64175","5790.54102"
"7.80000","0.65014","5860.11719"
"7.90000","0.65843","5928.38525"
"8.00000","0.66685","5999.19580"
"8.10000","0.67517","6065.93213"
"8.20000","0.68348","6135.11035"
"8.30000","0.69185","6204.20850"
"8.40000","0.70006","6272.30420"
"8.50000","0.70848","6342.73047"
"8.60000","0.71679","6408.77393"
"8.70000","0.72513","6477.89893"
"8.80000","0.73353","6546.07324"
"8.90000","0.74177","6615.01953"
"9.00000","0.75016","6683.64746"
"9.10000","0.75842","6751.38184"
"9.20000","0.76679","6821.14160"
"9.30000","0.77513","6888.03369"
"9.40000","0.78339","6958.22852"
"9.50000","0.79181","7027.84229"
"9.60000","0.80010","7095.09180"
"9.70000","0.80849","7163.52588"
"9.80000","0.81681","7228.83643"
"9.90000","0.82512","7297.64160"
"10.00000","0.83349","7364.64355"
"10.10000","0.84178","7431.50635"
"10.20000","0.85019","7499.99365"
"10.30000","0.85846","7564.66162"
"10.40000","0.86680","7634.50244"
"10.50000","0.87512","7700.75977"
"10.60000","0.88343","7768.71973"
"10.70000","0.89187","7836.09619"
"10.80000","0.90014","7899.68750"
"10.90000","0.90850","7967.49805"
"11.00000","0.91682","8033.56445"
"11.10000","0.92511","8101.97510"
"11.20000","0.93348","8168.84424"
"11.30000","0.94174","8234.73730"
"11.40000","0.95018","8303.50488"
"11.50000","0.95847","8370.55078"
"11.60000","0.96676","8439.64941"
"11.70000","0.97513","8506.66797"
"11.80000","0.98342","8572.54688"
"11.90000","0.99181","8639.92676"
"12.00000","1.00010","8705.29199"
"12.10000","1.00847","8774.25098"
"12.20000","1.01686","8839.78711"
"12.30000","1.02512","8904.12207"
"12.40000","1.03351","8969.88965"
"12.50000","1.04175","9034.62207"
"12.60000","1.05009","9102.30762"
"12.70000","1.05843","9166.89258"
"12.80000","1.06677","9233.27441"
"12.90000","1.07519","9297.48828"
"13.00000","1.08343","9359.93457"
"13.10000","1.09180","9427.41895"
"13.20000","1.10011","9491.61816"
"13.30000","1.10848","9556.75098"
"13.40000","1.11687","9620.91113"
"13.50000","1.12513","9684.51172"
"13.60000","1.13353","9750.17480"
"13.70000","1.14179","9813.74707"
"13.80000","1.15013","9878.84082"
"13.90000","1.15845","9941.15137"
"14.00000","1.16674","10004.69336"
"14.10000","1.17518","10071.17578"
"14.20000","1.18347","10134.45215"
"14.30000","1.19183","10199.92871"
"14.40000","1.20015","10261.00977"
"14.50000","1.20841","10324.59277"
"14.60000","1.21681","10389.91602"
"14.70000","1.22507","10455.04688"
"14.80000","1.23349","10519.73633"
"14.90000","1.24180","10581.87988"
"15.00000","1.25012","10645.61621"
"15.10000","1.25848","10709.15527"
"15.20000","1.26672","10773.33887"
"15.30000","1.27514","10839.24121"
"15.40000","1.28346","10902.23438"
"15.50000","1.29185","10966.98828"
"15.60000","1.30019","11029.06641"
"15.70000","1.30843","11092.98340"
"15.80000","1.31679","11157.25488"
"15.90000","1.32506","11218.12891"
"16.00000","1.33345","11283.03320"
"16.10000","1.34179","11345.08496"
"16.20000","1.35011","11410.01758"
"16.30000","1.35850","11475.08887"
"16.40000","1.36674","11539.07715"
"16.50000","1.37513","11605.11230"
"16.60000","1.38344","11667.79980"
"16.70000","1.39178","11734.37207"
"16.80000","1.40015","11797.18945"
"16.90000","1.40847","11861.16016"
"17.00000","1.41688","11926.43164"
"17.10000","1.42515","11986.75781"
"17.20000","1.43349","12051.18750"
"17.30000","1.44180","12114.00488"
"17.40000","1.45009","12177.90918"
"17.50000","1.45853","12242.25488"
"17.60000","1.46680","12303.83105"
"17.70000","1.47519","12367.09180"
"17.80000","1.48346","12427.26562"
"17.90000","1.49172","12491.54492"
"18.00000","1.50011","12555.29980"
