General : Start date,"11/19/2025 9:58 AM"
General : End date,"11/19/2025 9:59 AM"
Specimen notes : Specimen note 1,"B31"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","39.61577"
"0.10000","0.00428","39.44108"
"0.20000","0.01358","45.92258"
"0.30000","0.02291","121.67086"
"0.40000","0.03218","232.67726"
"0.50000","0.04102","331.58783"
"0.60000","0.04967","432.53357"
"0.70000","0.05818","525.35437"
"0.80000","0.06652","609.24481"
"0.90000","0.07504","694.04559"
"1.00000","0.08343","776.50806"
"1.10000","0.09180","863.06818"
"1.20000","0.10014","949.79370"
"1.30000","0.10840","1036.13599"
"1.40000","0.11682","1118.45044"
"1.50000","0.12511","1196.25818"
"1.60000","0.13348","1271.28259"
"1.70000","0.14179","1343.36487"
"1.80000","0.15013","1411.62268"
"1.90000","0.15855","1477.81079"
"2.00000","0.16679","1540.23267"
"2.10000","0.17518","1605.10315"
"2.20000","0.18347","1667.02515"
"2.30000","0.19184","1730.34485"
"2.40000","0.20023","1790.43054"
"2.50000","0.20847","1847.90479"
"2.60000","0.21683","1906.70190"
"2.70000","0.22515","1965.48108"
"2.80000","0.23351","2024.25720"
"2.90000","0.24185","2081.72437"
"3.00000","0.25014","2138.50122"
"3.10000","0.25856","2194.54102"
"3.20000","0.26680","2246.24341"
"3.30000","0.27514","2300.68677"
"3.40000","0.28346","2352.73901"
"3.50000","0.29177","2405.33154"
"3.60000","0.30021","2457.17480"
"3.70000","0.30845","2508.19873"
"3.80000","0.31684","2562.67578"
"3.90000","0.32514","2615.46777"
"4.00000","0.33345","2668.61475"
"4.10000","0.34184","2719.66919"
"4.20000","0.35008","2772.11646"
"4.30000","0.35852","2826.24097"
"4.40000","0.36681","2877.59863"
"4.50000","0.37518","2930.59985"
"4.60000","0.38349","2980.90063"
"4.70000","0.39176","3033.27686"
"4.80000","0.40015","3087.53760"
"4.90000","0.40844","3140.42896"
"5.00000","0.41686","3197.99927"
"5.10000","0.42520","3252.33447"
"5.20000","0.43351","3306.89478"
"5.30000","0.44185","3363.63159"
"5.40000","0.45012","3421.00342"
"5.50000","0.45851","3478.77417"
"5.60000","0.46683","3534.44507"
"5.70000","0.47517","3591.14600"
"5.80000","0.48353","3648.71094"
"5.90000","0.49177","3705.54663"
"6.00000","0.50016","3764.61670"
"6.10000","0.50843","3821.42554"
"6.20000","0.51679","3878.96558"
"6.30000","0.52516","3935.22705"
"6.40000","0.53345","3993.28467"
"6.50000","0.54187","4051.77393"
"6.60000","0.55013","4108.45410"
"6.70000","0.55852","4164.42236"
"6.80000","0.56681","4219.40625"
"6.90000","0.57513","4277.09277"
"7.00000","0.58354","4334.32080"
"7.10000","0.59181","4389.92139"
"7.20000","0.60018","4448.50293"
"7.30000","0.60847","4502.45020"
"7.40000","0.61678","4561.22949"
"7.50000","0.62515","4619.21436"
"7.60000","0.63344","4676.88232"
"7.70000","0.64188","4734.83008"
"7.80000","0.65017","4790.69922"
"7.90000","0.65851","4847.95850"
"8.00000","0.66680","4906.00342"
"8.10000","0.67509","4962.77344"
"8.20000","0.68348","5020.51270"
"8.30000","0.69175","5077.07275"
"8.40000","0.70016","5134.17383"
"8.50000","0.70848","5189.72803"
"8.60000","0.71679","5249.57178"
"8.70000","0.72516","5307.90332"
"8.80000","0.73345","5364.29150"
"8.90000","0.74184","5423.48682"
"9.00000","0.75016","5480.93311"
"9.10000","0.75850","5541.70264"
"9.20000","0.76686","5598.48193"
"9.30000","0.77510","5654.80420"
"9.40000","0.78352","5712.83643"
"9.50000","0.79178","5770.03711"
"9.60000","0.80015","5829.91406"
"9.70000","0.80852","5887.80078"
"9.80000","0.81681","5947.61182"
"9.90000","0.82522","6005.80762"
"10.00000","0.83346","6061.64062"
"10.10000","0.84180","6122.28320"
"10.20000","0.85012","6180.93311"
"10.30000","0.85843","6239.54590"
"10.40000","0.86685","6298.35791"
"10.50000","0.87514","6355.95117"
"10.60000","0.88356","6415.68604"
"10.70000","0.89182","6473.01367"
"10.80000","0.90011","6532.10596"
"10.90000","0.90850","6590.24805"
"11.00000","0.91679","6648.54053"
"11.10000","0.92518","6708.92822"
"11.20000","0.93345","6767.64844"
"11.30000","0.94179","6826.76416"
"11.40000","0.95013","6885.37939"
"11.50000","0.95842","6943.80273"
"11.60000","0.96681","7003.76855"
"11.70000","0.97510","7063.22021"
"11.80000","0.98352","7125.87451"
"11.90000","0.99186","7184.23486"
"12.00000","1.00018","7244.57715"
"12.10000","1.00852","7303.72070"
"12.20000","1.01678","7364.79932"
"12.30000","1.02517","7425.88770"
"12.40000","1.03346","7485.45752"
"12.50000","1.04183","7547.15479"
"12.60000","1.05022","7606.66211"
"12.70000","1.05848","7668.28857"
"12.80000","1.06688","7731.93018"
"12.90000","1.07512","7793.17920"
"13.00000","1.08351","7855.28369"
"13.10000","1.09185","7916.07178"
"13.20000","1.10014","7978.37598"
"13.30000","1.10850","8041.38428"
"13.40000","1.11674","8100.77344"
"13.50000","1.12516","8164.30371"
"13.60000","1.13345","8225.62305"
"13.70000","1.14176","8287.74316"
"13.80000","1.15018","8349.95703"
"13.90000","1.15847","8411.88086"
"14.00000","1.16686","8474.55273"
"14.10000","1.17515","8533.65234"
"14.20000","1.18347","8595.51855"
"14.30000","1.19181","8656.89551"
"14.40000","1.20007","8719.58984"
"14.50000","1.20852","8783.78613"
"14.60000","1.21678","8842.87695"
"14.70000","1.22517","8906.54785"
"14.80000","1.23346","8966.96777"
"14.90000","1.24175","9030.76855"
"15.00000","1.25017","9094.33105"
"15.10000","1.25846","9155.72070"
"15.20000","1.26690","9219.57031"
"15.30000","1.27517","9280.96973"
"15.40000","1.28348","9344.48145"
"15.50000","1.29185","9407.31934"
"15.60000","1.30006","9468.06934"
"15.70000","1.30848","9530.29102"
"15.80000","1.31679","9592.75586"
"15.90000","1.32516","9659.12305"
"16.00000","1.33353","9720.82422"
"16.10000","1.34182","9782.12891"
"16.20000","1.35021","9844.45703"
"16.30000","1.35847","9904.79688"
"16.40000","1.36684","9969.12012"
"16.50000","1.37518","10033.28906"
"16.60000","1.38349","10095.24512"
"16.70000","1.39186","10156.37988"
"16.80000","1.40010","10217.35547"
"16.90000","1.40847","10281.85938"
"17.00000","1.41676","10343.46484"
"17.10000","1.42512","10406.06055"
"17.20000","1.43354","10468.27246"
"17.30000","1.44183","10528.54785"
"17.40000","1.45019","10590.36523"
"17.50000","1.45843","10650.47266"
"17.60000","1.46677","10715.05078"
"17.70000","1.47514","10774.95312"
"17.80000","1.48343","10835.78418"
"17.90000","1.49185","10898.68359"
"18.00000","1.50011","10960.51270"
