General : Start date,"11/19/2025 10:32 AM"
General : End date,"11/19/2025 10:33 AM"
Specimen notes : Specimen note 1,"T4-3"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-4.23895"
"0.10000","0.00454","15.90273"
"0.20000","0.01436","133.06631"
"0.30000","0.02376","231.95105"
"0.40000","0.03263","320.91379"
"0.50000","0.04135","398.09482"
"0.60000","0.04984","468.78183"
"0.70000","0.05831","538.14185"
"0.80000","0.06678","606.02368"
"0.90000","0.07507","670.72662"
"1.00000","0.08343","738.20654"
"1.10000","0.09180","807.63159"
"1.20000","0.10019","883.79968"
"1.30000","0.10850","957.97729"
"1.40000","0.11667","1036.68054"
"1.50000","0.12508","1113.76672"
"1.60000","0.13340","1191.76404"
"1.70000","0.14179","1269.87805"
"1.80000","0.15016","1351.21948"
"1.90000","0.15847","1430.94495"
"2.00000","0.16684","1510.18311"
"2.10000","0.17513","1589.85205"
"2.20000","0.18349","1669.03210"
"2.30000","0.19179","1746.59229"
"2.40000","0.20013","1827.87109"
"2.50000","0.20857","1908.08606"
"2.60000","0.21686","1985.30090"
"2.70000","0.22522","2064.05322"
"2.80000","0.23351","2139.22266"
"2.90000","0.24183","2219.68433"
"3.00000","0.25019","2293.78687"
"3.10000","0.25849","2370.55347"
"3.20000","0.26690","2444.98022"
"3.30000","0.27517","2518.83984"
"3.40000","0.28356","2591.51587"
"3.50000","0.29187","2664.38306"
"3.60000","0.30011","2733.89087"
"3.70000","0.30850","2804.58887"
"3.80000","0.31674","2872.83667"
"3.90000","0.32519","2944.20264"
"4.00000","0.33350","3010.51465"
"4.10000","0.34182","3079.52222"
"4.20000","0.35018","3144.48657"
"4.30000","0.35845","3210.49463"
"4.40000","0.36681","3275.94214"
"4.50000","0.37510","3342.69824"
"4.60000","0.38344","3406.98657"
"4.70000","0.39184","3472.01611"
"4.80000","0.40013","3535.69458"
"4.90000","0.40854","3600.35669"
"5.00000","0.41678","3663.09888"
"5.10000","0.42515","3726.35425"
"5.20000","0.43346","3786.58960"
"5.30000","0.44180","3847.95703"
"5.40000","0.45025","3908.47778"
"5.50000","0.45851","3968.03247"
"5.60000","0.46688","4029.90991"
"5.70000","0.47519","4088.39429"
"5.80000","0.48351","4147.51562"
"5.90000","0.49190","4205.78125"
"6.00000","0.50016","4265.87012"
"6.10000","0.50858","4323.00049"
"6.20000","0.51684","4380.55713"
"6.30000","0.52516","4438.44141"
"6.40000","0.53350","4496.93457"
"6.50000","0.54179","4554.70215"
"6.60000","0.55018","4613.95361"
"6.70000","0.55845","4668.79004"
"6.80000","0.56681","4725.29736"
"6.90000","0.57515","4778.50928"
"7.00000","0.58344","4834.34619"
"7.10000","0.59184","4890.93066"
"7.20000","0.60013","4944.24170"
"7.30000","0.60857","4999.30420"
"7.40000","0.61688","5051.36719"
"7.50000","0.62517","5105.39551"
"7.60000","0.63351","5158.22607"
"7.70000","0.64175","5210.00830"
"7.80000","0.65012","5262.91309"
"7.90000","0.65841","5314.00049"
"8.00000","0.66683","5367.86865"
"8.10000","0.67519","5419.83838"
"8.20000","0.68346","5471.41748"
"8.30000","0.69182","5523.09717"
"8.40000","0.70011","5572.11816"
"8.50000","0.70853","5624.39502"
"8.60000","0.71687","5674.80078"
"8.70000","0.72516","5727.82471"
"8.80000","0.73353","5778.63916"
"8.90000","0.74174","5827.62891"
"9.00000","0.75011","5878.23828"
"9.10000","0.75842","5930.16748"
"9.20000","0.76679","5983.02051"
"9.30000","0.77518","6033.62988"
"9.40000","0.78349","6083.19141"
"9.50000","0.79191","6134.70508"
"9.60000","0.80018","6184.04834"
"9.70000","0.80849","6237.00342"
"9.80000","0.81686","6287.39648"
"9.90000","0.82512","6338.56055"
"10.00000","0.83356","6390.01367"
"10.10000","0.84183","6438.35156"
"10.20000","0.85022","6491.77783"
"10.30000","0.85851","6542.65381"
"10.40000","0.86680","6592.50000"
"10.50000","0.87517","6641.38330"
"10.60000","0.88348","6691.06104"
"10.70000","0.89190","6742.85010"
"10.80000","0.90014","6791.12061"
"10.90000","0.90843","6841.09863"
"11.00000","0.91679","6889.67627"
"11.10000","0.92506","6938.83398"
"11.20000","0.93350","6989.89258"
"11.30000","0.94179","7039.83984"
"11.40000","0.95016","7092.10059"
"11.50000","0.95847","7140.87549"
"11.60000","0.96676","7189.82568"
"11.70000","0.97515","7240.16113"
"11.80000","0.98342","7289.43994"
"11.90000","0.99181","7340.37158"
"12.00000","1.00018","7389.03662"
"12.10000","1.00852","7439.12744"
"12.20000","1.01691","7486.02100"
"12.30000","1.02517","7535.22510"
"12.40000","1.03354","7586.11621"
"12.50000","1.04183","7634.21143"
"12.60000","1.05017","7682.45068"
"12.70000","1.05853","7730.36719"
"12.80000","1.06683","7780.17285"
"12.90000","1.07522","7830.39697"
"13.00000","1.08351","7876.63379"
"13.10000","1.09185","7924.75879"
"13.20000","1.10016","7972.76953"
"13.30000","1.10845","8023.11084"
"13.40000","1.11687","8072.41211"
"13.50000","1.12516","8119.68604"
"13.60000","1.13355","8168.88428"
"13.70000","1.14182","8214.84570"
"13.80000","1.15011","8262.61816"
"13.90000","1.15850","8311.30176"
"14.00000","1.16674","8357.77051"
"14.10000","1.17515","8406.59375"
"14.20000","1.18347","8452.92969"
"14.30000","1.19186","8501.73633"
"14.40000","1.20020","8548.06348"
"14.50000","1.20844","8594.44727"
"14.60000","1.21681","8642.36621"
"14.70000","1.22510","8687.66211"
"14.80000","1.23351","8735.50879"
"14.90000","1.24188","8782.90723"
"15.00000","1.25014","8830.89941"
"15.10000","1.25853","8877.03027"
"15.20000","1.26680","8922.70312"
"15.30000","1.27522","8970.34180"
"15.40000","1.28356","9017.48047"
"15.50000","1.29187","9065.20801"
"15.60000","1.30026","9111.93066"
"15.70000","1.30850","9156.05371"
"15.80000","1.31687","9203.37305"
"15.90000","1.32513","9246.99023"
"16.00000","1.33347","9295.05078"
"16.10000","1.34184","9340.82227"
"16.20000","1.35013","9386.22168"
"16.30000","1.35852","9431.25977"
"16.40000","1.36679","9476.62695"
"16.50000","1.37515","9523.59375"
"16.60000","1.38347","9569.65527"
"16.70000","1.39178","9616.10547"
"16.80000","1.40023","9661.83105"
"16.90000","1.40852","9705.55859"
"17.00000","1.41688","9751.34375"
"17.10000","1.42515","9795.13086"
"17.20000","1.43344","9841.03125"
"17.30000","1.44180","9885.24512"
"17.40000","1.45007","9929.76758"
"17.50000","1.45848","9975.59277"
"17.60000","1.46682","10019.94336"
"17.70000","1.47517","10066.46680"
"17.80000","1.48351","10110.22754"
"17.90000","1.49177","10153.45117"
"18.00000","1.50021","10197.66309"
