General : Start date,"11/19/2025 10:44 AM"
General : End date,"11/19/2025 10:45 AM"
Specimen notes : Specimen note 1,"T6-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.83598"
"0.10000","0.00441","4.11746"
"0.20000","0.01381","25.68093"
"0.30000","0.02311","88.70985"
"0.40000","0.03238","172.04807"
"0.50000","0.04115","258.98035"
"0.60000","0.04969","346.75784"
"0.70000","0.05813","432.27930"
"0.80000","0.06655","517.79523"
"0.90000","0.07502","602.14636"
"1.00000","0.08341","682.39893"
"1.10000","0.09177","763.11761"
"1.20000","0.10014","841.80029"
"1.30000","0.10840","920.34601"
"1.40000","0.11682","1002.18646"
"1.50000","0.12516","1085.18152"
"1.60000","0.13348","1171.04614"
"1.70000","0.14182","1254.81750"
"1.80000","0.15011","1339.82043"
"1.90000","0.15850","1424.70422"
"2.00000","0.16671","1511.53308"
"2.10000","0.17508","1600.29041"
"2.20000","0.18347","1688.27563"
"2.30000","0.19181","1774.68616"
"2.40000","0.20023","1861.82837"
"2.50000","0.20849","1944.66296"
"2.60000","0.21686","2031.03345"
"2.70000","0.22520","2115.13403"
"2.80000","0.23349","2201.62915"
"2.90000","0.24185","2283.06470"
"3.00000","0.25014","2365.35718"
"3.10000","0.25856","2447.01733"
"3.20000","0.26680","2526.90234"
"3.30000","0.27512","2605.43555"
"3.40000","0.28346","2682.10815"
"3.50000","0.29177","2756.55225"
"3.60000","0.30019","2833.36572"
"3.70000","0.30843","2907.76758"
"3.80000","0.31677","2982.90576"
"3.90000","0.32506","3054.63062"
"4.00000","0.33337","3126.09644"
"4.10000","0.34179","3197.81567"
"4.20000","0.35011","3268.93042"
"4.30000","0.35850","3340.88086"
"4.40000","0.36676","3408.18384"
"4.50000","0.37508","3475.86426"
"4.60000","0.38349","3541.47729"
"4.70000","0.39176","3608.78809"
"4.80000","0.40018","3675.38623"
"4.90000","0.40849","3740.46973"
"5.00000","0.41686","3805.29639"
"5.10000","0.42522","3867.44580"
"5.20000","0.43349","3929.52832"
"5.30000","0.44188","3993.52393"
"5.40000","0.45009","4055.60034"
"5.50000","0.45849","4119.10205"
"5.60000","0.46683","4178.50928"
"5.70000","0.47514","4240.50781"
"5.80000","0.48353","4301.72070"
"5.90000","0.49182","4360.09668"
"6.00000","0.50019","4420.29932"
"6.10000","0.50845","4477.09912"
"6.20000","0.51677","4536.78906"
"6.30000","0.52519","4597.21191"
"6.40000","0.53348","4656.01367"
"6.50000","0.54187","4714.32129"
"6.60000","0.55013","4769.25879"
"6.70000","0.55847","4827.74023"
"6.80000","0.56679","4885.18555"
"6.90000","0.57503","4942.73096"
"7.00000","0.58342","5001.18994"
"7.10000","0.59173","5057.42480"
"7.20000","0.60018","5114.77441"
"7.30000","0.60852","5169.62402"
"7.40000","0.61678","5227.27295"
"7.50000","0.62515","5283.28955"
"7.60000","0.63339","5337.48682"
"7.70000","0.64183","5393.27246"
"7.80000","0.65017","5448.33008"
"7.90000","0.65848","5506.16699"
"8.00000","0.66685","5560.31592"
"8.10000","0.67514","5613.74219"
"8.20000","0.68353","5669.36377"
"8.30000","0.69185","5722.82764"
"8.40000","0.70021","5780.60986"
"8.50000","0.70855","5833.76855"
"8.60000","0.71682","5885.83350"
"8.70000","0.72519","5939.31201"
"8.80000","0.73345","5989.30078"
"8.90000","0.74182","6044.09180"
"9.00000","0.75013","6098.01953"
"9.10000","0.75845","6150.12402"
"9.20000","0.76684","6202.09180"
"9.30000","0.77508","6252.67041"
"9.40000","0.78349","6306.08105"
"9.50000","0.79178","6357.59619"
"9.60000","0.80013","6408.68164"
"9.70000","0.80854","6460.88965"
"9.80000","0.81681","6510.80518"
"9.90000","0.82522","6563.99365"
"10.00000","0.83346","6614.24268"
"10.10000","0.84180","6666.36377"
"10.20000","0.85007","6715.30664"
"10.30000","0.85836","6765.95215"
"10.40000","0.86683","6817.36865"
"10.50000","0.87514","6866.96631"
"10.60000","0.88351","6919.03467"
"10.70000","0.89180","6969.45557"
"10.80000","0.90011","7019.92871"
"10.90000","0.90853","7070.88477"
"11.00000","0.91684","7122.40771"
"11.10000","0.92521","7174.15820"
"11.20000","0.93350","7222.05273"
"11.30000","0.94179","7270.88086"
"11.40000","0.95011","7320.27588"
"11.50000","0.95835","7369.75586"
"11.60000","0.96676","7421.63281"
"11.70000","0.97510","7470.94385"
"11.80000","0.98349","7521.82324"
"11.90000","0.99186","7571.32178"
"12.00000","1.00015","7619.23340"
"12.10000","1.00854","7669.86328"
"12.20000","1.01681","7717.34131"
"12.30000","1.02517","7767.72070"
"12.40000","1.03349","7815.98926"
"12.50000","1.04183","7864.59131"
"12.60000","1.05022","7914.28320"
"12.70000","1.05846","7963.40234"
"12.80000","1.06683","8012.10547"
"12.90000","1.07514","8059.46582"
"13.00000","1.08348","8108.36768"
"13.10000","1.09185","8157.46094"
"13.20000","1.10011","8207.56641"
"13.30000","1.10848","8256.16211"
"13.40000","1.11672","8302.35742"
"13.50000","1.12508","8350.86133"
"13.60000","1.13345","8398.70801"
"13.70000","1.14174","8447.68066"
"13.80000","1.15016","8495.45703"
"13.90000","1.15845","8541.84473"
"14.00000","1.16681","8590.73438"
"14.10000","1.17513","8636.56738"
"14.20000","1.18339","8686.44629"
"14.30000","1.19178","8734.86230"
"14.40000","1.20007","8782.38672"
"14.50000","1.20854","8830.61328"
"14.60000","1.21686","8876.26953"
"14.70000","1.22517","8925.40820"
"14.80000","1.23351","8971.80176"
"14.90000","1.24178","9018.96289"
"15.00000","1.25019","9066.96289"
"15.10000","1.25848","9112.40234"
"15.20000","1.26682","9161.01367"
"15.30000","1.27519","9207.66406"
"15.40000","1.28346","9255.27148"
"15.50000","1.29187","9301.57617"
"15.60000","1.30014","9346.78711"
"15.70000","1.30850","9395.07422"
"15.80000","1.31682","9442.61133"
"15.90000","1.32516","9490.44824"
"16.00000","1.33355","9537.04004"
"16.10000","1.34179","9582.72559"
"16.20000","1.35016","9629.62695"
"16.30000","1.35842","9676.06934"
"16.40000","1.36671","9725.51172"
"16.50000","1.37510","9772.64648"
"16.60000","1.38339","9818.06543"
"16.70000","1.39183","9866.72559"
"16.80000","1.40015","9912.27734"
"16.90000","1.40857","9960.76953"
"17.00000","1.41683","10005.14648"
"17.10000","1.42507","10051.34473"
"17.20000","1.43351","10097.83984"
"17.30000","1.44180","10143.52344"
"17.40000","1.45019","10191.28516"
"17.50000","1.45848","10236.83984"
"17.60000","1.46680","10283.77832"
"17.70000","1.47519","10330.60645"
"17.80000","1.48348","10375.26172"
"17.90000","1.49192","10424.53711"
"18.00000","1.50021","10469.64453"
