General : Start date,"11/19/2025 10:23 AM"
General : End date,"11/19/2025 10:24 AM"
Specimen notes : Specimen note 1,"T8-3 - possibly damaged by instron orientation"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","4.41919"
"0.10000","0.00701","4.88137"
"0.20000","0.01623","35.17066"
"0.30000","0.02543","132.64378"
"0.40000","0.03435","244.33717"
"0.50000","0.04322","339.47903"
"0.60000","0.05181","428.48483"
"0.70000","0.06022","514.02820"
"0.80000","0.06872","600.70984"
"0.90000","0.07708","688.87592"
"1.00000","0.08555","774.98407"
"1.10000","0.09384","857.29297"
"1.20000","0.10210","942.75018"
"1.30000","0.11050","1030.72119"
"1.40000","0.11876","1120.35205"
"1.50000","0.12723","1211.26465"
"1.60000","0.13549","1298.55798"
"1.70000","0.14386","1386.94336"
"1.80000","0.15215","1472.61206"
"1.90000","0.16041","1559.65320"
"2.00000","0.16878","1645.21472"
"2.10000","0.17704","1728.44080"
"2.20000","0.18544","1812.20605"
"2.30000","0.19375","1892.24316"
"2.40000","0.20217","1971.27539"
"2.50000","0.21058","2048.31299"
"2.60000","0.21880","2121.77295"
"2.70000","0.22719","2195.35913"
"2.80000","0.23548","2264.14038"
"2.90000","0.24382","2333.31934"
"3.00000","0.25221","2400.85498"
"3.10000","0.26048","2467.09717"
"3.20000","0.26884","2532.82324"
"3.30000","0.27716","2596.13721"
"3.40000","0.28555","2660.64917"
"3.50000","0.29391","2722.62671"
"3.60000","0.30220","2784.87793"
"3.70000","0.31060","2847.61133"
"3.80000","0.31884","2906.01611"
"3.90000","0.32718","2964.89404"
"4.00000","0.33549","3023.40063"
"4.10000","0.34381","3083.83203"
"4.20000","0.35220","3143.81201"
"4.30000","0.36044","3200.51831"
"4.40000","0.36878","3258.70630"
"4.50000","0.37712","3314.31177"
"4.60000","0.38546","3372.18018"
"4.70000","0.39383","3428.22632"
"4.80000","0.40212","3483.47021"
"4.90000","0.41058","3538.90918"
"5.00000","0.41885","3591.65259"
"5.10000","0.42721","3646.94897"
"5.20000","0.43550","3700.97095"
"5.30000","0.44377","3755.03979"
"5.40000","0.45211","3810.20386"
"5.50000","0.46040","3863.74292"
"5.60000","0.46882","3916.86475"
"5.70000","0.47716","3969.31274"
"5.80000","0.48545","4022.41431"
"5.90000","0.49381","4075.67627"
"6.00000","0.50210","4126.56494"
"6.10000","0.51054","4179.32178"
"6.20000","0.51889","4230.75586"
"6.30000","0.52723","4284.17627"
"6.40000","0.53552","4334.14746"
"6.50000","0.54376","4384.73047"
"6.60000","0.55212","4436.15967"
"6.70000","0.56039","4486.39111"
"6.80000","0.56878","4540.19531"
"6.90000","0.57717","4591.87109"
"7.00000","0.58549","4643.59766"
"7.10000","0.59390","4695.46045"
"7.20000","0.60217","4746.33105"
"7.30000","0.61053","4799.59766"
"7.40000","0.61882","4851.60303"
"7.50000","0.62714","4904.27246"
"7.60000","0.63553","4957.02344"
"7.70000","0.64382","5008.45654"
"7.80000","0.65221","5063.18506"
"7.90000","0.66050","5114.87793"
"8.00000","0.66879","5166.54736"
"8.10000","0.67713","5218.37598"
"8.20000","0.68542","5269.90967"
"8.30000","0.69386","5325.34814"
"8.40000","0.70210","5377.46631"
"8.50000","0.71042","5430.84912"
"8.60000","0.71873","5481.86133"
"8.70000","0.72705","5536.98145"
"8.80000","0.73547","5589.85010"
"8.90000","0.74376","5643.51660"
"9.00000","0.75217","5700.38965"
"9.10000","0.76049","5753.03271"
"9.20000","0.76880","5808.00537"
"9.30000","0.77717","5861.63232"
"9.40000","0.78543","5917.56738"
"9.50000","0.79383","5972.85986"
"9.60000","0.80214","6026.20166"
"9.70000","0.81048","6081.57422"
"9.80000","0.81890","6135.77930"
"9.90000","0.82714","6191.46533"
"10.00000","0.83555","6247.23535"
"10.10000","0.84379","6300.61328"
"10.20000","0.85216","6356.07324"
"10.30000","0.86053","6410.22705"
"10.40000","0.86882","6465.76074"
"10.50000","0.87721","6521.68311"
"10.60000","0.88547","6575.96680"
"10.70000","0.89384","6631.27441"
"10.80000","0.90215","6684.18848"
"10.90000","0.91047","6740.29297"
"11.00000","0.91889","6796.97168"
"11.10000","0.92715","6851.70654"
"11.20000","0.93554","6907.69189"
"11.30000","0.94383","6961.81055"
"11.40000","0.95217","7017.82715"
"11.50000","0.96049","7072.71826"
"11.60000","0.96875","7127.43848"
"11.70000","0.97714","7184.10400"
"11.80000","0.98543","7237.15576"
"11.90000","0.99380","7292.49854"
"12.00000","1.00214","7347.00928"
"12.10000","1.01041","7401.43506"
"12.20000","1.01880","7455.71387"
"12.30000","1.02714","7509.78760"
"12.40000","1.03553","7566.22559"
"12.50000","1.04387","7619.52783"
"12.60000","1.05216","7675.06787"
"12.70000","1.06053","7731.17676"
"12.80000","1.06877","7785.92578"
"12.90000","1.07718","7842.09766"
"13.00000","1.08550","7895.83984"
"13.10000","1.09389","7952.82666"
"13.20000","1.10225","8007.42822"
"13.30000","1.11049","8059.95996"
"13.40000","1.11888","8114.98389"
"13.50000","1.12712","8167.86572"
"13.60000","1.13549","8223.46387"
"13.70000","1.14383","8277.07227"
"13.80000","1.15212","8330.16113"
"13.90000","1.16051","8383.69824"
"14.00000","1.16875","8436.06641"
"14.10000","1.17714","8491.85156"
"14.20000","1.18546","8545.60645"
"14.30000","1.19377","8599.51562"
"14.40000","1.20219","8654.42871"
"14.50000","1.21051","8708.33984"
"14.60000","1.21890","8762.55664"
"14.70000","1.22716","8813.56934"
"14.80000","1.23545","8867.13965"
"14.90000","1.24377","8918.26660"
"15.00000","1.25206","8971.01465"
"15.10000","1.26053","9027.19824"
"15.20000","1.26879","9079.33301"
"15.30000","1.27716","9133.41016"
"15.40000","1.28545","9184.44531"
"15.50000","1.29376","9237.58105"
"15.60000","1.30218","9289.76270"
"15.70000","1.31049","9340.96680"
"15.80000","1.31888","9395.90234"
"15.90000","1.32717","9446.32617"
"16.00000","1.33544","9499.01660"
"16.10000","1.34381","9550.18262"
"16.20000","1.35207","9603.42871"
"16.30000","1.36046","9657.83887"
"16.40000","1.36880","9710.42871"
"16.50000","1.37717","9763.97070"
"16.60000","1.38553","9815.65527"
"16.70000","1.39380","9867.35742"
"16.80000","1.40222","9920.16016"
"16.90000","1.41048","9971.88965"
"17.00000","1.41885","10024.76855"
"17.10000","1.42719","10075.47461"
"17.20000","1.43550","10128.15918"
"17.30000","1.44389","10180.17188"
"17.40000","1.45213","10231.21875"
"17.50000","1.46050","10282.94531"
"17.60000","1.46882","10334.44336"
"17.70000","1.47713","10387.17969"
"17.80000","1.48552","10440.61328"
"17.90000","1.49376","10492.32227"
"18.00000","1.50215","10543.90234"
