General : Start date,"11/13/2025 3:46 PM"
General : End date,"11/13/2025 3:46 PM"
Specimen notes : Specimen note 1,"Baseline, no weights"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.86317"
"0.10000","0.00000","-0.66260"
"0.20000","0.00000","-0.23091"
"0.30000","0.00000","-0.26538"
"0.40000","0.00000","-0.31552"
"0.50000","0.00000","-0.45107"
"0.60000","0.00000","0.40919"
"0.70000","0.00000","-0.45968"
"0.80000","0.00000","-0.21759"
"0.86600","0.00000","-0.45342"
