General : Start date,"11/13/2025 4:08 PM"
General : End date,"11/13/2025 4:08 PM"
Specimen notes : Specimen note 1,"13 - 0.2 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-5.07859","-0.53075"
"0.10000","-5.07859","-1.42940"
"0.20000","-5.07859","-1.19827"
"0.30000","-5.07859","-0.52605"
"0.40000","-5.07859","-1.43567"
"0.50000","-5.07859","-0.62007"
"0.60000","-5.07859","-1.65425"
"0.70000","-5.07859","-1.27584"
"0.80000","-5.07859","-0.92876"
"0.90000","-5.07859","-1.88695"
"1.00000","-5.07859","-0.92641"
"1.10000","-5.07859","-1.06822"
"1.12000","-5.07859","-1.11052"
