General : Start date,"11/13/2025 3:51 PM"
General : End date,"11/13/2025 3:51 PM"
Specimen notes : Specimen note 1,"4 - Clevis + Weight A (50lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","87.63311","247.29213"
"0.10000","87.63311","246.61128"
"0.20000","87.63311","246.52591"
"0.30000","87.63311","246.63010"
"0.40000","87.63311","246.42404"
"0.50000","87.63311","246.57759"
"0.60000","87.63311","246.12006"
"0.70000","87.63311","246.73273"
"0.80000","87.63311","246.50082"
"0.90000","87.63311","246.10751"
"0.96600","87.63311","246.88942"
