General : Start date,"11/13/2025 3:54 PM"
General : End date,"11/13/2025 3:54 PM"
Specimen notes : Specimen note 1,"6 - Clevis + Weight A+B (100 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","68.33405","471.64471"
"0.10000","68.33405","471.61179"
"0.20000","68.33405","471.53424"
"0.30000","68.33405","472.13434"
"0.40000","68.33405","472.26208"
"0.50000","68.33405","471.34305"
"0.60000","68.33405","471.19888"
"0.70000","68.33405","471.93771"
"0.80000","68.33405","471.99805"
"0.90000","68.33405","472.65146"
"0.92600","68.33405","472.36942"
