General : Start date,"11/13/2025 3:59 PM"
General : End date,"11/13/2025 3:59 PM"
Specimen notes : Specimen note 1,"10 - Clevis + Weight A+B+C+D (200 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","45.20111","917.53564"
"0.10000","45.20111","916.83752"
"0.20000","45.20111","917.50818"
"0.30000","45.20111","916.93390"
"0.40000","45.20111","917.11414"
"0.50000","45.20111","916.59698"
"0.60000","45.20111","916.75604"
"0.70000","45.20111","917.03729"
"0.80000","45.20111","916.86102"
"0.82000","45.20111","917.04828"
