General : Start date,"11/13/2025 4:06 PM"
General : End date,"11/13/2025 4:06 PM"
Specimen notes : Specimen note 1,"11 - 0 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.42655"
"0.10000","0.00000","-1.19279"
"0.20000","0.00000","-0.57463"
"0.30000","0.00000","0.25272"
"0.40000","0.00000","-0.19934"
"0.50000","0.00000","0.04040"
"0.60000","0.00000","-0.65219"
"0.70000","0.00000","-0.44065"
"0.80000","0.00000","0.34596"
"0.90000","0.00000","-0.09122"
"1.00000","0.00000","0.71184"
"1.10000","0.00000","-0.19307"
"1.20000","0.00000","-0.04578"
"1.27400","0.00000","-0.53780"
