General : Start date,"11/13/2025 4:09 PM"
General : End date,"11/13/2025 4:09 PM"
Specimen notes : Specimen note 1,"15 - 0.4 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-10.18046","-1.05098"
"0.10000","-10.18046","-0.84336"
"0.20000","-10.18046","-0.69136"
"0.30000","-10.18046","-0.14763"
"0.40000","-10.18046","-1.40119"
"0.50000","-10.18046","-0.33802"
"0.60000","-10.18046","-0.68823"
"0.70000","-10.18046","-1.21864"
"0.80000","-10.18046","-0.29414"
"0.90000","-10.18046","-0.98517"
"1.00000","-10.18046","-0.35212"
"1.10000","-10.18046","-0.93972"
"1.12600","-10.18046","-0.30433"
