General : Start date,"11/13/2025 3:52 PM"
General : End date,"11/13/2025 3:52 PM"
Specimen notes : Specimen note 1,"5 - Clevis + Floating Weight A+B (100 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-42.68823","29.00835"
"0.10000","-42.68823","28.02274"
"0.20000","-42.68823","28.25543"
"0.30000","-42.68823","28.26954"
"0.40000","-42.68823","28.59390"
"0.50000","-42.68823","28.97936"
"0.60000","-42.68823","28.52652"
"0.70000","-42.68823","29.06633"
"0.80000","-42.68823","28.52495"
"0.90000","-42.68823","28.70671"
"1.00000","-42.68823","28.30244"
"1.01400","-42.68823","28.68008"
