General : Start date,"11/13/2025 3:55 PM"
General : End date,"11/13/2025 3:55 PM"
Specimen notes : Specimen note 1,"7 - Clevis + Stationary Weight A+B+C (150 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-73.45620","29.45180"
"0.10000","-73.45620","29.63357"
"0.20000","-73.45620","29.22146"
"0.30000","-73.45620","29.92032"
"0.40000","-73.45620","29.51761"
"0.50000","-73.45620","29.78243"
"0.60000","-73.45620","28.89945"
"0.70000","-73.45620","29.85529"
"0.80000","-73.45620","29.47687"
"0.90000","-73.45620","28.42545"
"1.00000","-73.45620","29.65707"
"1.10000","-73.45620","29.44867"
"1.12400","-73.45620","29.41811"
