General : Start date,"11/13/2025 3:56 PM"
General : End date,"11/13/2025 3:56 PM"
Specimen notes : Specimen note 1,"8 - Clevis + Weight A+B+C (150 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","55.26696","695.69641"
"0.10000","55.26696","695.01868"
"0.20000","55.26696","695.09003"
"0.30000","55.26696","694.85266"
"0.40000","55.26696","694.47888"
"0.50000","55.26696","694.21802"
"0.60000","55.26696","694.06995"
"0.70000","55.26696","694.45538"
"0.80000","55.26696","695.13623"
"0.90000","55.26696","694.29169"
"1.00000","55.26696","694.11926"
"1.10000","55.26696","694.91766"
"1.12600","55.26696","694.84088"
