General : Start date,"11/13/2025 3:58 PM"
General : End date,"11/13/2025 3:58 PM"
Specimen notes : Specimen note 1,"9 - Clevis + Stationary Weight A+B+C+D (200 lbs)"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-112.48753","28.20608"
"0.10000","-112.48753","28.15985"
"0.20000","-112.48753","28.70045"
"0.30000","-112.48753","28.41918"
"0.40000","-112.48753","27.52524"
"0.50000","-112.48753","27.61377"
"0.60000","-112.48753","28.30244"
"0.70000","-112.48753","28.15985"
"0.80000","-112.48753","28.95429"
"0.90000","-112.48753","28.41840"
"1.00000","-112.48753","28.27424"
"1.10000","-112.48753","28.39019"
"1.12400","-112.48753","29.53877"
