infill_type,wall_thickness,measurement,nominal_value,n_parts,part_means,mean_of_part_means
solid,4.0,length (in),4.349,4,[4.3883 4.3863 4.3868 4.387 ],4.387099999999999
solid,4.0,thickness (in),0.125,4,[0.1269 0.1268 0.1267 0.1275],0.126975
solid,4.0,width (in),0.25,4,[0.259      0.25816667 0.25866667 0.2615    ],0.25933333333333336
solid,4.0,mass (g),0.25,4,[22.6   22.614 22.62  22.62 ],22.613500000000002
solid,6.0,length (in),4.349,4,[4.3874 4.3886 4.3888 4.387 ],4.38795
solid,6.0,thickness (in),0.125,4,[0.127  0.1267 0.1265 0.127 ],0.1268
solid,6.0,width (in),0.25,4,[0.26633333 0.2635     0.26416667 0.2635    ],0.264375
solid,6.0,mass (g),0.25,4,[22.55 22.55 22.55 22.63],22.57
solid,8.0,length (in),4.349,4,[4.3869 4.3877 4.3883 4.389 ],4.387975
solid,8.0,thickness (in),0.125,4,[0.128  0.127  0.1271 0.1273],0.12735000000000002
solid,8.0,width (in),0.25,4,[0.265      0.26383333 0.26366667 0.26733333],0.26495833333333335
solid,8.0,mass (g),0.25,4,[22.69 22.69 22.69 22.68],22.6875
gyroid,4.0,length (in),4.349,4,[4.3611 4.3651 4.358  4.3557],4.359975
gyroid,4.0,thickness (in),0.125,4,[0.1292 0.1299 0.1301 0.1303],0.129875
gyroid,4.0,width (in),0.25,4,[0.26116667 0.2625     0.26483333 0.26033333],0.2622083333333333
gyroid,4.0,mass (g),0.25,4,[14.73 14.73 14.73 14.73],14.73
gyroid,6.0,length (in),4.349,4,[4.3567 4.3516 4.3533 4.3522],4.35345
gyroid,6.0,thickness (in),0.125,4,[0.1295 0.1299 0.1297 0.1306],0.129925
gyroid,6.0,width (in),0.25,4,[0.26033333 0.26116667 0.2625     0.2615    ],0.261375
gyroid,6.0,mass (g),0.25,4,[16.04 16.04 16.04 16.04],16.04
gyroid,8.0,length (in),4.349,4,[4.3473 4.3473 4.346  4.3475],4.347025
gyroid,8.0,thickness (in),0.125,4,[0.132  0.1324 0.1322 0.1324],0.13224999999999998
gyroid,8.0,width (in),0.25,4,[0.25483333 0.25533333 0.25533333 0.25566667],0.2552916666666667
gyroid,8.0,mass (g),0.25,4,[17.52  17.514 17.51  17.51 ],17.5135
triangular,4.0,length (in),4.349,4,[4.3501 4.3543 4.3527 4.3522],4.352325
triangular,4.0,thickness (in),0.125,4,[0.131  0.1312 0.131  0.1313],0.131125
triangular,4.0,width (in),0.25,4,[0.2535     0.25383333 0.25383333 0.25383333],0.25375000000000003
triangular,4.0,mass (g),0.25,4,[14.86 14.86 14.92 14.92],14.89
triangular,6.0,length (in),4.349,4,[4.3474 4.3504 4.3499 4.3506],4.349575
triangular,6.0,thickness (in),0.125,4,[0.13   0.1304 0.13   0.1298],0.13005
triangular,6.0,width (in),0.25,4,[0.25433333 0.25583333 0.25566667 0.2545    ],0.25508333333333333
triangular,6.0,mass (g),0.25,4,[16.31 16.31 16.31 16.31],16.31
triangular,8.0,length (in),4.349,4,[4.346  4.345  4.3474 4.3454],4.34595
triangular,8.0,thickness (in),0.125,4,[0.1295 0.1295 0.1287 0.129 ],0.12917499999999998
triangular,8.0,width (in),0.25,4,[0.2615     0.26483333 0.263      0.26416667],0.263375
triangular,8.0,mass (g),0.25,4,[17.5  17.5  17.45 17.45],17.475
